name,long,lat
Scotch W. Tavern,2.1841385,41.4329182
torre beer,2.1851023,41.4081596
Casablanca Pub,2.1793583,41.4089524
Mi Bar,2.1829403,41.4251403
Disco Pub Karaoke Oasis,2.1802334,41.4203512
The Pharaoh Restaurante,2.1745459,41.4085097
Riffrock Bar,2.1758385,41.42821
Pintxin,2.1735979,41.41162
Pub La Cotxera,2.1756912,41.4281778
La Rovira,2.1580906,41.4074993
Beering Barcelona,2.1830406,41.418065
Bar ADN,2.1731474,41.4293367
Frankfurt Luvec,2.1717928,41.409505
Bar Gato Negro,2.1603075,41.405539
Ruta 66,2.1859124,41.4319672
Bar Soto,2.1540288,41.4358618
Bar Naranjito Pub,2.1899533,41.4112723
Puerta 55 | Coctelería,2.1880697,41.424497
Britannia Arms,-122.0329091,37.3067353
